"Name","CinemaContextId","CinemaContextLink","OpeningYear","ClosingYear","Address","Locatiepunt1","Locatiepunt2","Locatiepunt3","Locatiepunt4","Locatiepunt5","CityNeighborhood1850","TopCountry1","TopCountry2","TopCountry3","TopGenre1","TopGenre2","TopGenre3"
"Bioscoop onbekend 4 / Van der Werf Bioscooptheater","Bios1434","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?sort=naam%20oplopend;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;c=cccbioscoop;rgn1=Stad;type=boolean;q1=amsterdam;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=19;tpl=details.tpl",1912,1912,"Goudsbloemstraat 86",900024,,,,,"QQ"," "," "," ",,,
"Apollo","Bios5","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=18;tpl=details.tpl",1911,1964,"Haarlemmerdijk 82",900025,,,,,"UU","USA","D",,"Drama","Romance","Adventure"
"Tavenu","Bios92","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=17;tpl=details.tpl",1912,1914,"Haarlemmerdijk 161",900026,,,,,"UU",,,,"Short","Drama",
"Prinsesse Bioscoop","Bios86","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=16;tpl=details.tpl",1914,1915,"Haarlemmerdijk 161",900026,,,,,"UU","USA",,,,,
"Hollandia (Haarlemmerdijk)","Bios60","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=15;tpl=details.tpl",1915,1969,"Haarlemmerdijk 161",900026,,,,,"UU","USA",,,"Drama","Comedy","Romance"
"Wester Bioscoop","Bios96","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?sort=naam%20oplopend;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;c=cccbioscoop;rgn1=Stad;type=boolean;q1=amsterdam;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=141;tpl=details.tpl",1912,1913,"Haarlemmerplein 7",900027,,,,,"UU"," "," "," ",,,
"Roode Bioscoop","Bios87","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=19;tpl=details.tpl",1913,1913,"Haarlemmerplein 7",900027,,,,,"UU"," "," "," ",,,
"Ons Genoegen","Bios1489","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?sort=naam%20oplopend;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;c=cccbioscoop;rgn1=Stad;type=boolean;q1=amsterdam;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=93;tpl=details.tpl",1914,1918,"Haarlemmerplein 7",900027,,,,,"UU"," "," "," ",,,
"Haarlemmerpoort","Bios58","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?sort=naam%20oplopend;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;c=cccbioscoop;rgn1=Stad;type=boolean;q1=amsterdam;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=65;tpl=details.tpl",1912,1914,"Haarlemmerplein 33",900028,,,,,"UU"," "," "," ",,,
"Thalia (A)","Bios59","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?sort=naam%20oplopend;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;c=cccbioscoop;rgn1=Stad;type=boolean;q1=amsterdam;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=127;tpl=details.tpl",1914,1915,"Haarlemmerplein 33",900028,,,,,"UU"," "," "," ",,,
