district,label,wkt
https://adamlink.nl/geo/district/AI/1247,AI,"POLYGON((4.8800567690932 52.355981525652,4.8816749331868 52.353717565971,4.8825216489 52.353464735391,4.8834248096978 52.352545320074,4.8864357779078 52.352231933327,4.885551004984 52.346993972922,4.876970964013 52.348154868029,4.875691485684 52.34862611959,4.8744308219577 52.349476651008,4.8733583182714 52.350465090015,4.8738663456714 52.350867349541,4.8746377953559 52.352085607331,4.8733206840082 52.354039353543,4.8782880754188 52.355349464381,4.8785326818194 52.355613780278,4.8800567690932 52.355981525652))"
https://adamlink.nl/geo/district/AK/1346,AK,"POLYGON((4.8733583182714 52.350465090015,4.8721164691532 52.351074226584,4.8710805078917 52.351407183635,4.8689469541554 52.354254980873,4.8681341526778 52.355279360369,4.86787283303 52.355372296469,4.867568718396 52.355928861747,4.8672472821789 52.356063455427,4.8669369892701 52.355979758538,4.8664798272934 52.356069516779,4.8661935430073 52.356361649398,4.8666066295558 52.356493554026,4.8666861036083 52.356885107063,4.8661706522177 52.35773974617,4.8755843234417 52.360316550457,4.8767075431074 52.360623995542,4.8800567690932 52.355981525652,4.8785326818194 52.355613780278,4.8782880754188 52.355349464381,4.8733206840082 52.354039353543,4.8746377953559 52.352085607331,4.8738663456714 52.350867349541,4.8733583182714 52.350465090015))"
https://adamlink.nl/geo/district/AL/1263,AL,"POLYGON((4.8661706522177 52.35773974617,4.8666861036083 52.356885107063,4.8666066295558 52.356493554026,4.8661935430073 52.356361649398,4.8664798272934 52.356069516779,4.8669369892701 52.355979758538,4.8672472821789 52.356063455427,4.867568718396 52.355928861747,4.86787283303 52.355372296469,4.8681341526778 52.355279360369,4.8689469541554 52.354254980873,4.8710805078917 52.351407183635,4.8691623765461 52.351821274488,4.8678828956726 52.351694847752,4.8654744634703 52.350832865824,4.8613726036388 52.35009729877,4.8571578472788 52.348120390504,4.854542439174 52.34675258995,4.8496879442661 52.345902010279,4.8504622275991 52.346915661,4.851122708869 52.347421251985,4.8531395848772 52.354148030498,4.8661706522177 52.35773974617))"
https://adamlink.nl/geo/district/AM/1350,AM,"POLYGON((4.8496879442661 52.345902010279,4.854542439174 52.34675258995,4.8571578472788 52.348120390504,4.8613726036388 52.35009729877,4.8654744634703 52.350832865824,4.8678828956726 52.351694847752,4.8691623765461 52.351821274488,4.8710805078917 52.351407183635,4.8721164691532 52.351074226584,4.8733583182714 52.350465090015,4.8744308219577 52.349476651008,4.875691485684 52.34862611959,4.876970964013 52.348154868029,4.885551004984 52.346993972922,4.8852875814054 52.34428125373,4.8845161304563 52.342453525603,4.8842244843623 52.341683328219,4.8737252252648 52.341798283937,4.8576940984487 52.34044178786,4.8573554126666 52.339889980925,4.8476840521301 52.339476121234,4.8470443123438 52.342166140189,4.8487001094983 52.344074345013,4.8496879442661 52.345902010279))"
https://adamlink.nl/geo/district/AN/1338,AN,"POLYGON((4.885551004984 52.346993972922,4.8891824678699 52.346626152755,4.8962572387423 52.347154891432,4.9013187095355 52.347545691155,4.9115921781403 52.349591586324,4.9120625737394 52.348499683609,4.9111782275415 52.348085904474,4.9127023135269 52.345982467303,4.9128340246616 52.345384751047,4.9133232374495 52.345488202515,4.9140946883755 52.34421228415,4.915261272707 52.342660441927,4.9153929838423 52.34213165361,4.9148285075385 52.341177519577,4.9137371866885 52.340303836616,4.9126270499706 52.339717539692,4.9114792815054 52.339453128737,4.9102374336517 52.339315174561,4.9092025604391 52.339487617213,4.9058345185549 52.340292340698,4.8961067103959 52.342143149133,4.8845161304563 52.342453525603,4.8852875814054 52.34428125373,4.885551004984 52.346993972922))"
https://adamlink.nl/geo/district/B/1332,B,"POLYGON((4.8923162823592 52.369088540456,4.8931481247048 52.369151994494,4.8942560765591 52.36925642622,4.8947695834579 52.370834524379,4.895032477469 52.371186845396,4.8954671964394 52.371576417262,4.8958386350394 52.371874584589,4.8968319677408 52.371497666569,4.8987259486658 52.370980871577,4.8951491275589 52.36725409458,4.8943146821735 52.367214976823,4.8939770462461 52.367302893013,4.8926649435128 52.368511528529,4.8923162823592 52.369088540456))"
https://adamlink.nl/geo/district/BB-I/1294,BB-I,"POLYGON((4.8911008047787 52.360037114156,4.8899989955554 52.360070627719,4.8869374420145 52.361568833258,4.8868051012559 52.361643418628,4.8878563088382 52.362774039448,4.8880118478668 52.362714360528,4.8894044451002 52.364257769195,4.8924076112996 52.363864010629,4.8918154854802 52.362140637691,4.8916223220615 52.362166664991,4.8910967990226 52.360554318433,4.8911008047787 52.360037114156))"
https://adamlink.nl/geo/district/BB-II/1261,BB-II,"POLYGON((4.8869374420145 52.361568833258,4.8899989955554 52.360070627719,4.8911008047787 52.360037114156,4.8908814104771 52.358316342307,4.8895568872877 52.358688170089,4.88837652999 52.359417356797,4.8879395570465 52.359935197115,4.8873262342125 52.360260880705,4.8862369118528 52.360780792545,4.8869374420145 52.361568833258))"
https://adamlink.nl/geo/district/BS/1290,BS,"POLYGON((4.8954641341206 52.398364282247,4.8981402667659 52.39981938311,4.9016263773893 52.402970991071,4.9116328326897 52.40019966547,4.9121164564872 52.400235438188,4.9154861513616 52.400783846075,4.9166520700733 52.400590036583,4.9197024171484 52.39967025895,4.9194989579212 52.398553762098,4.9195848952196 52.398410658758,4.920154214857 52.398500732196,4.9201161509686 52.398685007765,4.9202096657402 52.398969832793,4.9208444733412 52.399602018488,4.9214456111124 52.39890559148,4.9213388852618 52.398743536412,4.9216859602452 52.398133549234,4.9221735079872 52.397447934797,4.9221660013363 52.397327145538,4.9228686364376 52.39672702471,4.9221316789063 52.395972384836,4.9190983001806 52.390196981271,4.9183346402506 52.389612028707,4.8954641341206 52.398364282247))"
https://adamlink.nl/geo/district/C/1354,C,"POLYGON((4.8987259486658 52.370980871577,4.8999080193387 52.372300083745,4.9004097667956 52.372276077204,4.900704052573 52.372162383454,4.9011422395499 52.370757198642,4.9012854288972 52.370510326183,4.9017459357212 52.370069145504,4.9010401525819 52.369599871189,4.9003773028327 52.369190480243,4.8990270287121 52.368053073964,4.8981740432717 52.367336885731,4.8971995196881 52.367429218753,4.8959741966251 52.367396301437,4.8951491275589 52.36725409458,4.8987259486658 52.370980871577))"
