rij,obs,pop,houseType,residenceStatus,kom,sex,label,buurt
85,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K85-h,4111,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt P.P,https://adamlink.nl/geo/district/buurt-pp/106
86,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K86-h,4872,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt Q.Q,https://adamlink.nl/geo/district/buurt-qq/101
87,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K87-h,802,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt R.R,https://adamlink.nl/geo/district/buurt-rr/117
88,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K88-h,1553,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt S.S,https://adamlink.nl/geo/district/buurt-ss/118
89,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K89-h,2440,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt T.T,https://adamlink.nl/geo/district/buurt-tt/105
90,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K90-h,3773,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt U.U,https://adamlink.nl/geo/district/buurt-uu/102
91,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K91-h,1087,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt V.V,https://adamlink.nl/geo/district/buurt-vv/104
92,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K92-h,564,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BuitenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt W.W,https://adamlink.nl/geo/district/buurt-ww/103
93,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K93-h,1850,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BuitenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt X.X (waarin de Overtoom),https://adamlink.nl/geo/district/buurt-xx/123
94,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K94-h,670,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BuitenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt IJ.IJ,https://adamlink.nl/geo/district/buurt-yy/124
95,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K95-h,724,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BuitenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M,Buurt Z.Z (waarin de Weesperzijde),https://adamlink.nl/geo/district/buurt-zz/150
46,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L46-h,2202,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt A,https://adamlink.nl/geo/district/buurt-a/134
47,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L47-h,1680,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt B,https://adamlink.nl/geo/district/buurt-b/136
48,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L48-h,3346,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt C,https://adamlink.nl/geo/district/buurt-c/141
