rij,obs,pop,houseType,residenceStatus,kom,sex,buurtLabel,buurt,nadere_omschrijving1,nadere_omschrijving2
138,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I138-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt IJ,https://adamlink.nl/geo/district/buurt-y/137,"Gesticht Brentano ""Steun des Ouderdoms""",Kom
139,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I139-h,466,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt IJ,https://adamlink.nl/geo/district/buurt-y/137,Overige huizen,Kom
140,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I140-h,817,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt Z,https://adamlink.nl/geo/district/buurt-z/138,,Kom
141,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I141-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt AA,https://adamlink.nl/geo/district/buurt-aa/128,Doopsgezinde Oude vrouwenhuis,Kom
142,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I142-h,10,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt AA,https://adamlink.nl/geo/district/buurt-aa/128,Looijerstraat,Kom
143,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I143-h,682,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt AA,https://adamlink.nl/geo/district/buurt-aa/128,Overige huizen,Kom
144,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I144-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt BB,https://adamlink.nl/geo/district/buurt-bb/126,Weeshuis der Waalsche Gem.,Kom
145,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I145-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt BB,https://adamlink.nl/geo/district/buurt-bb/126,Deutzen hofje,Kom
146,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I146-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt BB,https://adamlink.nl/geo/district/buurt-bb/126,Grilshofje,Kom
147,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I147-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt BB,https://adamlink.nl/geo/district/buurt-bb/126,Hodson Dadelhofje,Kom
148,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I148-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt BB,https://adamlink.nl/geo/district/buurt-bb/126,Nooteboome Uitkijkhofje,Kom
149,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I149-h,553,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt BB,https://adamlink.nl/geo/district/buurt-bb/126,Overige huizen,Kom
150,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I150-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt CC,https://adamlink.nl/geo/district/buurt-cc/125,St. Piusgesticht,Kom
151,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I151-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt CC,https://adamlink.nl/geo/district/buurt-cc/125,Kweekschool voor vroedvrouwen,Kom
152,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I152-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt CC,https://adamlink.nl/geo/district/buurt-cc/125,Ziekenverpleging,Kom
153,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I153-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt CC,https://adamlink.nl/geo/district/buurt-cc/125,Cellul. huis van arrest en justitie,Kom
154,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I154-h,688,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt CC,https://adamlink.nl/geo/district/buurt-cc/125,Overige huizen,Kom
155,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I155-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt DD,https://adamlink.nl/geo/district/buurt-dd/111,Rijpenhofje,Kom
156,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I156-h,473,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt DD,https://adamlink.nl/geo/district/buurt-dd/111,Overige huizen,Kom
157,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I157-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt EE,https://adamlink.nl/geo/district/buurt-ee/110,Rozenhofje,Kom
158,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I158-h,600,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Buurt EE,https://adamlink.nl/geo/district/buurt-ee/110,Overige huizen,Kom
