rij,obs,pop,houseType,residenceStatus,kom,sex,BuurtLabel,buurt,Overig,Beschrijving
498,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M498-h,341,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk F.FI. De Voorzienigheid,https://adamlink.nl/geo/district/FF-I/1262,,Verpl.
499,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M499-h,2605,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk F.FI. Overige huizen,https://adamlink.nl/geo/district/FF-I/1262,,
500,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M500-h,91,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk F.FII. Huizen,https://adamlink.nl/geo/district/FF-II/1349,,
502,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M502-h,2815,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk G.GI. Overige huizen,https://adamlink.nl/geo/district/GG-I/1339,,
503,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M503-h,105,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk G.GII. Huizen,https://adamlink.nl/geo/district/GG-II/1250,,
505,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M505-h,8,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk H.H.I Hofje v.d. Wed. Roozen.,https://adamlink.nl/geo/district/HH-I/1304,,A.I.
506,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M506-h,20,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk H.H.I  Toevlucht v. behoeftigen.,https://adamlink.nl/geo/district/HH-I/1304,,A.I.
507,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M507-h,1591,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk H.H.I Overige huizen.,https://adamlink.nl/geo/district/HH-I/1304,,
508,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M508-h,356,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk H.H.II. Huizen,https://adamlink.nl/geo/district/HH-II/1329,,
509,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M509-h,45,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk II I. Tehuis v. Stadsbestedelingen,https://adamlink.nl/geo/district/JJ-I/1358,,Verpl.
510,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M510-h,1464,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk III. Overige Huizen,https://adamlink.nl/geo/district/JJ-I/1358,,
511,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M511-h,329,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk II II. Huizen,https://adamlink.nl/geo/district/JJ-II/1331,,
512,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M512-h,16,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,"Wijk K.K. Doopsgez. Weeshuis ""de Oranje appel"".",https://adamlink.nl/geo/district/KK/1308,,Verpl.
513,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M513-h,19,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk K.K. Liefde is het fondament.,https://adamlink.nl/geo/district/KK/1308,,A.I.
514,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M514-h,27,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk K.K. Het Nieuwe suikerhofje.,https://adamlink.nl/geo/district/KK/1308,,A.I.
515,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M515-h,31,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk K.K.St. Annavereeniging.,https://adamlink.nl/geo/district/KK/1308,,Verpl.
516,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M516-h,2017,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk K.K. Overige huizen.,https://adamlink.nl/geo/district/KK/1308,,Verpl.
517,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M517-h,149,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk L.L. Gest. V. Liefdadigheid.,https://adamlink.nl/geo/district/LL/1323,,Verpl.
518,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M518-h,1197,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk L.L. Overige huizen.,https://adamlink.nl/geo/district/LL/1323,,
519,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M519-h,41,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk M.M.I. St. Andrieshofje,https://adamlink.nl/geo/district/MM-I/1311,,A.I.
520,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M520-h,2715,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk M.MI. Overige huizen,https://adamlink.nl/geo/district/MM-I/1311,,
521,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M521-h,49,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk M.MII. Hamer en Bouwershof,https://adamlink.nl/geo/district/MM-II/1355,,A.I.
522,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M522-h,275,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk M.MII. Overige huizen,https://adamlink.nl/geo/district/MM-II/1355,,
523,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M523-h,22,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk N.NI. Anslo's hofje.,https://adamlink.nl/geo/district/NN-I/1281,,A.I.
524,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M524-h,25,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk N.NI.  De 7 Keurvorsten.,https://adamlink.nl/geo/district/NN-I/1281,,A.I.
525,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M525-h,3218,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk N.NI. Overige huizen,https://adamlink.nl/geo/district/NN-I/1281,,
526,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M526-h,587,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk N.NII. Huizen,https://adamlink.nl/geo/district/NN-II/1271,,
527,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M527-h,10,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk O.OI. Het Van Beeckshofje.,https://adamlink.nl/geo/district/OO-I/1343,,A.I.
528,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M528-h,41,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk O.OI.Regenboogsliefdehofje,https://adamlink.nl/geo/district/OO-I/1343,,A.I.
529,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M529-h,5,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk O.OI. Trompettershofje,https://adamlink.nl/geo/district/OO-I/1343,,A.I.
530,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M530-h,3995,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk O.OI. Overige Huizen.,https://adamlink.nl/geo/district/OO-I/1343,,
531,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M531-h,615,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk O.OII. Huizen,https://adamlink.nl/geo/district/OO-II/1277,,
532,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M532-h,19,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk P.PI. Suyckerhofje,https://adamlink.nl/geo/district/PP-I/1335,,A.I.
533,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M533-h,108,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk P.PI. Huiszittendweduwenhof,https://adamlink.nl/geo/district/PP-I/1335,,Verpl.
534,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M534-h,4448,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk P.PI. Overige Huizen,https://adamlink.nl/geo/district/PP-I/1335,,
535,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M535-h,139,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk P.PII. Huizen,https://adamlink.nl/geo/district/PP-II/1313,,
536,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M536-h,11,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk Q.QI. Het Rapenhofje,https://adamlink.nl/geo/district/QQ-I/1272,,A.I.
537,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M537-h,8,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk Q.QI. Het Bosschehofje.,https://adamlink.nl/geo/district/QQ-I/1272,,A.I.
538,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M538-h,50,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk Q.QI. Het Lindenhofje.,https://adamlink.nl/geo/district/QQ-I/1272,,A.I.
539,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M539-h,6366,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk Q.QI. Overige huizen.,https://adamlink.nl/geo/district/QQ-I/1272,,
540,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M540-h,2221,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk Q.QII. Huizen.,https://adamlink.nl/geo/district/QQ-II/1253,,
541,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M541-h,3,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk R.R. De Vrije Universiteit.,https://adamlink.nl/geo/district/RR/1352,,Ond.
542,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M542-h,26,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk R.R. R.-K. Ziekenverpleging.,https://adamlink.nl/geo/district/RR/1352,,Verpl.
543,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M543-h,35,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk R.R. R.-K. St. Rosagesticht.,https://adamlink.nl/geo/district/RR/1352,,Ond.
544,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M544-h,1019,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk R.R.R.-K. Overige huizen,https://adamlink.nl/geo/district/RR/1352,,
547,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M547-h,15,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Fontainehofje.,https://adamlink.nl/geo/district/SS/1320,,A.I.
549,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M549-h,36,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk S.S. St. liduinastichting.,https://adamlink.nl/geo/district/SS/1320,,A.I.
550,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M550-h,41,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,"Wijk S.S. v. Brienenshofje ""De Star"".",https://adamlink.nl/geo/district/SS/1320,,
551,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M551-h,9,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,"Wijk S.S. R.K. Hofje ""Geloof, Hoop en Liefde"".",https://adamlink.nl/geo/district/SS/1320,,A.I.
552,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M552-h,32,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk S.S. Zonshofje.,https://adamlink.nl/geo/district/SS/1320,,Verpl.
553,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M553-h,1808,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk S.S. Overige huizen,https://adamlink.nl/geo/district/SS/1320,,
554,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M554-h,81,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,"Wijk T.TI.Herst. Ev. Luth. Oude mannen-, vrouwen- en weeshuis",https://adamlink.nl/geo/district/TT-I/1341,,Verpl.
555,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M555-h,47,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk T.T. St. Antoniagesticht.,https://adamlink.nl/geo/district/TT-I/1341,,Ond.
556,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M556-h,2529,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk T.T. Overige huizen.,https://adamlink.nl/geo/district/TT-I/1341,,
557,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M557-h,5,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk T.TII.Overige huizen,https://adamlink.nl/geo/district/TT-II/1268,,
558,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M558-h,10,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk U.UI. Moenshofje,https://adamlink.nl/geo/district/U-I/1303,,A.I.
559,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M559-h,5253,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk U.UI.Overige Huizen.,https://adamlink.nl/geo/district/U-I/1303,,
560,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M560-h,748,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk U.UII. Huizen.,https://adamlink.nl/geo/district/UU-II/1278,,
561,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M561-h,1538,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk V.VI. Huizen,https://adamlink.nl/geo/district/V-I/1266,,
562,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M562-h,1986,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk V.VII. Huizen,https://adamlink.nl/geo/district/VV-II/1353,,
563,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M563-h,34,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk V.VIII.Huizen,https://adamlink.nl/geo/district/VV-III/1327,,
564,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M564-h,316,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk W.W. Huizen,https://adamlink.nl/geo/district/WW/1301,,
565,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M565-h,40,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk X.X. Huizen,https://adamlink.nl/geo/district/XX/1283,,
566,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M566-h,57,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk O.Z. Huizen,https://adamlink.nl/geo/district/OZ/1318,,
567,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M567-h,7,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk B.S. Huizen,https://adamlink.nl/geo/district/BS/1290,,
568,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M568-h,3,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk N.D. Huizen,https://adamlink.nl/geo/district/ND/1292,,
569,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M569-h,43,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk Y.Y. Huizen,https://adamlink.nl/geo/district/YY/1296,,
570,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M570-h,283,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk Z.Z. Huizen,https://adamlink.nl/geo/district/ZZ/1246,,
571,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M571-h,36,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk S.A. St. Leogesticht,https://adamlink.nl/geo/district/SA/1337,,Ond.
572,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M572-h,3864,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk S.A. Overige huizen,https://adamlink.nl/geo/district/SA/1337,,
573,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M573-h,135,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk Z.A. Huizen,https://adamlink.nl/geo/district/ZA/1285,,
574,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M574-h,1205,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk S.B. Huizen,https://adamlink.nl/geo/district/SB/1274,,
575,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M575-h,7472,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk S.C. Huizen,https://adamlink.nl/geo/district/SC/1310,,
576,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M576-h,24,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk S.D. Anna Mariastichting,https://adamlink.nl/geo/district/SD/1254,,A.I.
577,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M577-h,5769,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk S.D. Overige huizen,https://adamlink.nl/geo/district/SD/1254,,
578,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M578-h,23,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,Wijk S.E. Weeshuis der Ger. Kerk,https://adamlink.nl/geo/district/SE/1322,,Verpl.
579,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M579-h,12,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F,"Wijk S.E. Kinderhuis ""Mirjam""",https://adamlink.nl/geo/district/SE/1322,,V.en O.
