rij,obs,pop,houseType,residenceStatus,kom,sex
561,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M561-h,1538,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
562,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M562-h,1986,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
563,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M563-h,34,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
564,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M564-h,316,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
565,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M565-h,40,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
566,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M566-h,57,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
567,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M567-h,7,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
568,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M568-h,3,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
569,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M569-h,43,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
570,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M570-h,283,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
571,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M571-h,36,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
572,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M572-h,3864,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
573,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M573-h,135,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
574,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M574-h,1205,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
575,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M575-h,7472,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
576,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M576-h,24,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
577,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M577-h,5769,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
578,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M578-h,23,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
579,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M579-h,12,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
580,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M580-h,7264,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
581,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M581-h,52,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
582,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M582-h,23,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
583,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M583-h,5360,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
584,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M584-h,7039,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
585,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M585-h,388,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
586,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M586-h,12,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
587,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M587-h,163,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
588,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M588-h,7118,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
590,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M590-h,29,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
591,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M591-h,179,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
592,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M592-h,1086,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
593,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M593-h,11,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
594,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M594-h,816,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
595,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M595-h,5,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
596,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M596-h,1930,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
597,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M597-h,19,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
598,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M598-h,78,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
599,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M599-h,4130,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
