rij,obs,pop,houseType,residenceStatus,kom,sex,description,buurt
82,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E82-h,748,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt Z,https://adamlink.nl/geo/district/buurt-z/138
84,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E84-h,671,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt AA,https://adamlink.nl/geo/district/buurt-aa/128
85,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E85-h,555,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt BB,https://adamlink.nl/geo/district/buurt-bb/126
86,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E86-h,669,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt CC,https://adamlink.nl/geo/district/buurt-cc/125
87,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E87-h,459,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt DD,https://adamlink.nl/geo/district/buurt-dd/111
88,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E88-h,576,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt EE,https://adamlink.nl/geo/district/buurt-ee/110
89,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E89-h,429,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt FF,https://adamlink.nl/geo/district/buurt-ff/112
90,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E90-h,500,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt GG,https://adamlink.nl/geo/district/buurt-gg/113
91,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E91-h,423,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt HH,https://adamlink.nl/geo/district/buurt-hh/114
92,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E92-h,461,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt II,https://adamlink.nl/geo/district/buurt-jj/122
94,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E94-h,586,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115
95,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E95-h,369,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt LL,https://adamlink.nl/geo/district/buurt-ll/116
97,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E97-h,466,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt MM,https://adamlink.nl/geo/district/buurt-mm/109
98,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E98-h,491,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt NN,https://adamlink.nl/geo/district/buurt-nn/108
100,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F100-h,73,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt OO,https://adamlink.nl/geo/district/buurt-oo/107
102,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F102-h,95,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt PP,https://adamlink.nl/geo/district/buurt-pp/106
104,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F104-h,163,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt QQ,https://adamlink.nl/geo/district/buurt-qq/101
106,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F106-h,40,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt RR,https://adamlink.nl/geo/district/buurt-rr/117
