rij,Ligging,BuurtLabel,buurt,Overig,Beschrijving
229,Kom,S.S,https://adamlink.nl/geo/district/buurt-ss/118,,Het Zon'shofje
230,Kom,S.S,https://adamlink.nl/geo/district/buurt-ss/118,,Geref. Ziekenverpleging
231,Kom,S.S,https://adamlink.nl/geo/district/buurt-ss/118,,Het Fontainehofje
232,Kom,S.S,https://adamlink.nl/geo/district/buurt-ss/118,,"v. Brienenshofje ""de Star"""
233,Kom,S.S,https://adamlink.nl/geo/district/buurt-ss/118,,Broedergest. St. Joh. de Deo
234,Kom,S.S,https://adamlink.nl/geo/district/buurt-ss/118,,St. Liduina-Stichting
235,Kom,S.S,https://adamlink.nl/geo/district/buurt-ss/118,,R.K. School St. Louis
236,Kom,S.S,https://adamlink.nl/geo/district/buurt-ss/118,,"de Zaaier, Parochiekerk van de H. Ignatius"
237,Kom,S.S,https://adamlink.nl/geo/district/buurt-ss/118,Overige huizen,
238,Kom,T.T,https://adamlink.nl/geo/district/buurt-tt/105,,"de Posthoorn, Parochiek. v. O. L. V. onbevlekte ontvangenis"
239,Kom,T.T,https://adamlink.nl/geo/district/buurt-tt/105,,St. Antonia Gesticht
240,Kom,T.T,https://adamlink.nl/geo/district/buurt-tt/105,,"Wees-, O. M.- en Vr.huis der Herst. Ev. Luth. Gem."
241,Kom,T.T,https://adamlink.nl/geo/district/buurt-tt/105,,Leger des Heils
242,Kom,T.T,https://adamlink.nl/geo/district/buurt-tt/105,Overige huizen,
243,Kom,U.U,https://adamlink.nl/geo/district/buurt-uu/102,,Het Moenshofje
244,Kom,U.U,https://adamlink.nl/geo/district/buurt-uu/102,Overige huizen,
245,Kom,V.V,https://adamlink.nl/geo/district/buurt-vv/104,Huizen,
246,Kom,W.W,https://adamlink.nl/geo/district/buurt-ww/103,,St. Leo Gesticht
247,Kom,W.W,https://adamlink.nl/geo/district/buurt-ww/103,,Anna Maria Stichting
248,Kom,W.W,https://adamlink.nl/geo/district/buurt-ww/103,,Doorgangshuis
249,Kom,W.W,https://adamlink.nl/geo/district/buurt-ww/103,,Weesh. Geref. Gem. Kerk B
250,Kom,W.W,https://adamlink.nl/geo/district/buurt-ww/103,Overige huizen,
